asker,vote
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,rescue
gladly,attack
gladly,attack
gladly,attack
gladly,attack
gladly,attack
gladly,attack
gladly,attack
gladly,attack
gladly,attack
gladly,attack
gladly,attack
gladly,attack
gladly,attack
gladly,attack
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
gladly,both
doggie,rescue
doggie,rescue
doggie,rescue
doggie,rescue
doggie,rescue
doggie,rescue
doggie,rescue
doggie,rescue
doggie,rescue
doggie,rescue
doggie,rescue
doggie,rescue
doggie,rescue
doggie,rescue
doggie,rescue
doggie,rescue
doggie,rescue
doggie,rescue
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,attack
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
doggie,both
